epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0403,1.31075,1.73278,1.121,0.80273,0.793,0.84849,0.59234,1.07811,1.05183,1.04836,0.000662813,0.000662813,0.000662813
2,44.92,1.12354,0.96837,1.039,0.85741,0.80174,0.87693,0.60275,1.09436,0.88859,1.07238,0.00126367,0.00126367,0.00126367
3,62.815,1.09798,0.88392,1.03083,0.87737,0.84391,0.87687,0.60947,1.12642,0.87202,1.06767,0.00179853,0.00179853,0.00179853
4,80.8013,1.07311,0.85298,1.02512,0.93967,0.85128,0.89122,0.6401,0.99853,0.76356,1.03996,0.001703,0.001703,0.001703
5,99.679,1.04819,0.80221,1.01312,0.95464,0.86352,0.91156,0.67683,0.98923,0.72751,1.03611,0.001604,0.001604,0.001604
6,119.356,1.00833,0.76092,1.00838,0.9442,0.86776,0.91333,0.65069,1.01358,0.7084,1.02488,0.001505,0.001505,0.001505
7,138.76,0.99098,0.74567,0.99894,0.94337,0.85436,0.89517,0.67762,0.9593,0.6758,1.02623,0.001406,0.001406,0.001406
8,160.033,0.95453,0.70319,0.99022,0.935,0.88528,0.91198,0.70886,0.88921,0.61083,0.98211,0.001307,0.001307,0.001307
9,184.045,0.9312,0.67852,0.9819,0.92321,0.89231,0.89716,0.6923,0.87974,0.60052,0.9797,0.001208,0.001208,0.001208
10,204.858,0.90459,0.64484,0.97453,0.97171,0.88072,0.92168,0.7302,0.86423,0.57943,0.9825,0.001109,0.001109,0.001109
11,254.6,0.82019,0.59947,0.95196,0.96133,0.88718,0.93439,0.72655,0.86694,0.57101,0.9801,0.00101,0.00101,0.00101
12,276.438,0.81496,0.57374,0.94088,0.9605,0.89744,0.93574,0.72048,0.87284,0.56619,0.97382,0.000911,0.000911,0.000911
13,297.928,0.78077,0.55375,0.92361,0.92847,0.91282,0.94104,0.73207,0.82909,0.55294,0.95736,0.000812,0.000812,0.000812
14,318.648,0.76418,0.51831,0.92233,0.97256,0.90888,0.94792,0.72762,0.85726,0.52486,0.97312,0.000713,0.000713,0.000713
15,340.683,0.73357,0.50137,0.91075,0.97722,0.87992,0.94196,0.73739,0.83415,0.52766,0.95047,0.000614,0.000614,0.000614
16,362.836,0.72571,0.49177,0.90694,0.96625,0.89744,0.94371,0.74155,0.82392,0.50023,0.95428,0.000515,0.000515,0.000515
17,384.423,0.70837,0.4717,0.89611,0.96194,0.9073,0.94447,0.75576,0.81138,0.48719,0.95575,0.000416,0.000416,0.000416
18,406.746,0.69001,0.45435,0.89487,0.95724,0.92308,0.94782,0.75813,0.79013,0.46448,0.94162,0.000317,0.000317,0.000317
19,428.959,0.682,0.44323,0.88992,0.95686,0.91002,0.943,0.76207,0.75951,0.45833,0.92945,0.000218,0.000218,0.000218
20,447.201,0.65382,0.43165,0.88029,0.93721,0.91847,0.94697,0.76567,0.75372,0.44759,0.92754,0.000119,0.000119,0.000119
