epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3011,2.51929,3.37066,2.24428,0.80415,0.64615,0.73415,0.45357,2.69418,2.48646,2.64251,0.000662813,0.000662813,0.000662813
2,53.6489,2.4612,1.87153,2.22495,0.67191,0.73516,0.74506,0.49608,2.54434,1.94366,2.54076,0.00126367,0.00126367,0.00126367
3,78.7613,2.48095,1.82297,2.20845,0.80886,0.73846,0.80477,0.54058,2.35937,1.8762,2.44283,0.00179853,0.00179853,0.00179853
4,104.214,2.37012,1.72738,2.18033,0.84273,0.74194,0.81683,0.59442,2.2223,1.51709,2.36272,0.001703,0.001703,0.001703
5,129.809,2.27639,1.62339,2.1254,0.86746,0.82564,0.86623,0.62503,2.20916,1.50779,2.31707,0.001604,0.001604,0.001604
6,155.029,2.18629,1.52542,2.10323,0.90102,0.83077,0.89212,0.67382,1.93442,1.2008,2.22592,0.001505,0.001505,0.001505
7,182.976,2.1419,1.45613,2.08234,0.94988,0.8359,0.89452,0.67562,1.85379,1.06336,2.16338,0.001406,0.001406,0.001406
8,210.591,2.04828,1.36112,2.06364,0.94558,0.8359,0.90467,0.69254,1.94888,1.08621,2.21438,0.001307,0.001307,0.001307
9,236.326,1.98622,1.35352,2.04273,0.8984,0.86162,0.89342,0.676,1.96786,1.08352,2.20448,0.001208,0.001208,0.001208
10,261.882,1.92357,1.23996,2.0211,0.94901,0.85901,0.91607,0.7051,1.93042,1.05838,2.18392,0.001109,0.001109,0.001109
11,312.449,1.68717,1.0787,2.0554,0.90972,0.82051,0.91029,0.67345,1.92397,1.10648,2.17803,0.00101,0.00101,0.00101
12,336.114,1.67936,1.04004,2.02832,0.94617,0.87692,0.91778,0.70516,1.83458,0.96865,2.15317,0.000911,0.000911,0.000911
13,358.738,1.57533,0.95955,1.96679,0.92881,0.86981,0.91974,0.72716,1.76937,0.91682,2.12034,0.000812,0.000812,0.000812
14,382.162,1.56655,0.91996,1.97207,0.93414,0.91282,0.94459,0.7351,1.74761,0.88981,2.0817,0.000713,0.000713,0.000713
15,406.771,1.48966,0.88108,1.92863,0.95197,0.89744,0.93783,0.73757,1.74729,0.86124,2.11938,0.000614,0.000614,0.000614
16,431.059,1.47848,0.84634,1.92489,0.94154,0.91282,0.93872,0.75005,1.64093,0.82341,2.07281,0.000515,0.000515,0.000515
17,454.755,1.41963,0.81773,1.88004,0.95705,0.91428,0.94737,0.75412,1.68921,0.79714,2.09325,0.000416,0.000416,0.000416
18,480.688,1.38521,0.79979,1.88353,0.95403,0.86667,0.9472,0.75564,1.67817,0.83888,2.09285,0.000317,0.000317,0.000317
19,504.264,1.34906,0.75311,1.86611,0.94428,0.89231,0.94715,0.76111,1.63041,0.79796,2.06882,0.000218,0.000218,0.000218
20,530.57,1.29127,0.73961,1.82918,0.94081,0.89664,0.94395,0.75991,1.63496,0.79893,2.08937,0.000119,0.000119,0.000119
