epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.6942,1.1548,1.03619,1.1135,0.74836,0.50329,0.5919,0.36317,1.46723,1.33361,1.49014,0.000662813,0.000662813,0.000662813
2,185.988,1.14309,0.85876,1.10868,0.27474,0.06154,0.06167,0.04047,2.77284,3.90366,2.63538,0.00126367,0.00126367,0.00126367
3,285.917,1.10495,0.78843,1.08924,0.81724,0.62051,0.69583,0.46991,1.20965,1.11882,1.23559,0.00179853,0.00179853,0.00179853
4,387.485,1.05274,0.75628,1.07382,0.78148,0.56855,0.66623,0.42895,1.25162,1.13741,1.29336,0.001703,0.001703,0.001703
5,475.6,1.0201,0.69131,1.05083,0.8663,0.62564,0.6904,0.47937,1.24595,1.2425,1.28533,0.001604,0.001604,0.001604
6,569.956,0.95071,0.64509,1.03159,0.92522,0.88835,0.91266,0.67789,0.90616,0.544,1.0812,0.001505,0.001505,0.001505
7,652.598,0.9333,0.61636,1.02362,0.93851,0.86093,0.90782,0.70239,0.91285,0.50612,1.09338,0.001406,0.001406,0.001406
8,740.519,0.90145,0.58239,1.01945,0.96444,0.83449,0.90323,0.69509,0.89997,0.55252,1.07977,0.001307,0.001307,0.001307
9,829.902,0.85175,0.55698,1.00486,0.89506,0.85128,0.88667,0.69225,0.92983,0.56038,1.10296,0.001208,0.001208,0.001208
10,870.902,0.83372,0.51991,0.99282,0.94919,0.89744,0.93043,0.7368,0.83683,0.40819,1.07014,0.001109,0.001109,0.001109
11,935.732,0.74157,0.46433,0.99589,0.95484,0.86736,0.9255,0.72267,0.88407,0.50706,1.07424,0.00101,0.00101,0.00101
12,974.717,0.73858,0.4526,0.98319,0.92849,0.83077,0.89293,0.69907,0.89183,0.50273,1.09169,0.000911,0.000911,0.000911
13,1015.82,0.69877,0.42735,0.95986,0.946,0.89838,0.92999,0.71447,0.87972,0.42521,1.07495,0.000812,0.000812,0.000812
14,1055.28,0.68927,0.41409,0.96182,0.95832,0.88205,0.92299,0.73087,0.82133,0.43083,1.04681,0.000713,0.000713,0.000713
15,1094.96,0.6538,0.39277,0.94414,0.97073,0.86667,0.92386,0.7277,0.85159,0.43047,1.06436,0.000614,0.000614,0.000614
16,1135.45,0.64007,0.3698,0.93206,0.97701,0.87162,0.93542,0.74496,0.79037,0.39152,1.03951,0.000515,0.000515,0.000515
17,1175.85,0.61016,0.35235,0.91542,0.92024,0.91282,0.93081,0.73764,0.81341,0.41437,1.04994,0.000416,0.000416,0.000416
18,1215.35,0.59251,0.33737,0.91604,0.94689,0.88718,0.93352,0.74809,0.80465,0.38777,1.04467,0.000317,0.000317,0.000317
19,1255.38,0.57076,0.32212,0.909,0.92669,0.90749,0.93092,0.75871,0.78245,0.3735,1.03159,0.000218,0.000218,0.000218
20,1295.61,0.54363,0.30374,0.89476,0.93169,0.90925,0.93181,0.75812,0.75862,0.38056,1.03304,0.000119,0.000119,0.000119
