epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2122,1.19848,1.14103,1.13356,0.89724,0.5641,0.70251,0.46084,1.31443,1.39134,1.24638,0.000662813,0.000662813,0.000662813
2,80.4896,1.11401,0.81398,1.09034,0.85494,0.57949,0.67991,0.45116,1.40734,1.15589,1.31597,0.00126367,0.00126367,0.00126367
3,115.58,1.10042,0.77804,1.07718,0.89694,0.77436,0.85956,0.61698,1.00486,0.79957,1.11435,0.00179853,0.00179853,0.00179853
4,151.675,1.06946,0.75511,1.06823,0.92004,0.57949,0.71307,0.52502,1.09332,0.99423,1.15665,0.001703,0.001703,0.001703
5,188.428,1.02938,0.70128,1.04802,0.94447,0.84615,0.88549,0.64033,1.00905,0.56658,1.15238,0.001604,0.001604,0.001604
6,225.602,0.99196,0.68833,1.04154,0.74697,0.73333,0.74335,0.56419,0.93268,0.76685,1.09299,0.001505,0.001505,0.001505
7,264.393,0.97048,0.65961,1.02591,0.95509,0.87692,0.92586,0.72466,0.8678,0.50243,1.05836,0.001406,0.001406,0.001406
8,304.253,0.92313,0.6176,1.01771,0.93286,0.86154,0.91878,0.71245,0.87289,0.55636,1.06066,0.001307,0.001307,0.001307
9,341.098,0.89182,0.59705,1.00421,0.9386,0.8359,0.88973,0.69723,0.88301,0.54358,1.06776,0.001208,0.001208,0.001208
10,380.025,0.87768,0.56836,1.00195,0.9564,0.89993,0.92884,0.73002,0.80776,0.43103,1.03249,0.001109,0.001109,0.001109
11,441.547,0.78372,0.50456,0.9989,0.93156,0.82564,0.89573,0.71469,0.85177,0.52707,1.03936,0.00101,0.00101,0.00101
12,477.134,0.7743,0.48167,0.98682,0.94227,0.89231,0.93394,0.73031,0.84248,0.45543,1.03064,0.000911,0.000911,0.000911
13,513.355,0.73287,0.45786,0.96354,0.89965,0.89231,0.92773,0.72344,0.8503,0.46896,1.03907,0.000812,0.000812,0.000812
14,549.962,0.7232,0.44121,0.96306,0.96769,0.90256,0.94293,0.74435,0.8175,0.42855,1.01649,0.000713,0.000713,0.000713
15,585.34,0.68961,0.42916,0.94459,0.94057,0.89272,0.93082,0.73162,0.8354,0.43957,1.03085,0.000614,0.000614,0.000614
16,620.952,0.68313,0.41789,0.94078,0.9536,0.88718,0.94304,0.75595,0.77594,0.39284,1.00586,0.000515,0.000515,0.000515
17,655.316,0.6693,0.39585,0.93114,0.93167,0.90902,0.93433,0.75539,0.76658,0.40047,0.99537,0.000416,0.000416,0.000416
18,692.244,0.63974,0.37637,0.92627,0.96115,0.89744,0.94611,0.76635,0.77668,0.37829,1.01401,0.000317,0.000317,0.000317
19,728.148,0.6166,0.36357,0.91671,0.9672,0.9073,0.94437,0.75876,0.76693,0.37723,1.00054,0.000218,0.000218,0.000218
20,764.816,0.59894,0.35125,0.90488,0.96232,0.92821,0.95306,0.76381,0.76018,0.35551,1.00344,0.000119,0.000119,0.000119
