epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6919,1.27785,1.56351,1.11364,0.90586,0.83885,0.87965,0.60516,1.10395,0.88928,1.02909,0.000662813,0.000662813,0.000662813
2,38.2289,1.11229,0.9268,1.03734,0.87606,0.76124,0.84947,0.585,1.09782,0.91938,1.07196,0.00126367,0.00126367,0.00126367
3,55.5539,1.09007,0.86028,1.03063,0.91587,0.83743,0.87932,0.6455,1.03194,0.79526,1.06355,0.00179853,0.00179853,0.00179853
4,75.8885,1.07136,0.83538,1.02548,0.96004,0.8624,0.90165,0.65896,0.97425,0.7228,1.03524,0.001703,0.001703,0.001703
5,94.6799,1.04822,0.78439,1.02107,0.95221,0.85641,0.90988,0.68515,0.9442,0.62217,1.03384,0.001604,0.001604,0.001604
6,114.957,1.00602,0.74826,1.00625,0.88347,0.81026,0.88535,0.64505,1.01216,0.91208,1.03532,0.001505,0.001505,0.001505
7,134.816,0.9846,0.72902,1.00274,0.96495,0.89231,0.92214,0.70128,0.92554,0.59487,1.02241,0.001406,0.001406,0.001406
8,153.842,0.9478,0.68981,0.99516,0.96628,0.87692,0.92529,0.71105,0.88168,0.60696,0.98895,0.001307,0.001307,0.001307
9,172.078,0.92635,0.66817,0.9853,0.94059,0.89312,0.915,0.69547,0.89401,0.63528,0.9959,0.001208,0.001208,0.001208
10,188.575,0.92095,0.64743,0.98378,0.91262,0.89744,0.91761,0.69397,0.89591,0.58606,1.01388,0.001109,0.001109,0.001109
11,229.371,0.82407,0.59039,0.96049,0.93553,0.89306,0.94152,0.7379,0.88846,0.55395,1.00998,0.00101,0.00101,0.00101
12,246.805,0.80478,0.55877,0.94723,0.93456,0.89744,0.94287,0.73436,0.86919,0.54402,0.97036,0.000911,0.000911,0.000911
13,263.63,0.77521,0.53347,0.92859,0.94598,0.90769,0.93969,0.73393,0.84873,0.51882,0.977,0.000812,0.000812,0.000812
14,278.932,0.75271,0.50965,0.92637,0.95713,0.92308,0.93979,0.73721,0.84165,0.476,0.98046,0.000713,0.000713,0.000713
15,296.034,0.71753,0.48901,0.91149,0.97224,0.89231,0.95037,0.75845,0.8304,0.49183,0.9784,0.000614,0.000614,0.000614
16,313.107,0.71392,0.47417,0.91142,0.96648,0.89231,0.93989,0.75384,0.80573,0.48885,0.95692,0.000515,0.000515,0.000515
17,328.348,0.7046,0.45543,0.90118,0.9652,0.91795,0.94072,0.75355,0.80712,0.45953,0.97291,0.000416,0.000416,0.000416
18,345.234,0.67502,0.44166,0.89838,0.94167,0.92308,0.94534,0.74976,0.79961,0.46616,0.96236,0.000317,0.000317,0.000317
19,364.117,0.66613,0.42671,0.8918,0.94791,0.92308,0.94424,0.75402,0.79066,0.44921,0.96652,0.000218,0.000218,0.000218
20,383.728,0.63765,0.41603,0.88271,0.96542,0.92308,0.94692,0.76274,0.78742,0.43875,0.96616,0.000119,0.000119,0.000119
